,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
483,Ben Bentil,DAL,22,3,2,1,3.3,0,0,1,0,0.3,0,0,0,0.7,0.7,0,0.3,0,0,0.3,0.5,0,0,-4
483,Danuel House Jr.,WAS,24,1,0,1,0.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,0
483,Patricio Garino,ORL,24,5,2,3,8.6,0,0,1.4,0,1,0,0,0.2,1.2,1.4,0,0.6,0,0,0.8,1.1,0,0,-2.8
483,RJ Hunter,CHI,23,3,2,1,3.1,0,0,0.3,0,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-3.3
482,Aaron Harrison,CHA,22,5,2,3,3.3,0.2,0,0.8,0,0.4,0.2,0.4,0,0.6,0.6,0.6,0,0,0,0.4,1.8,0,0,-1
481,John Lucas III,MIN,34,5,3,2,2.1,0.4,0.2,0.8,0,0.2,0,0,0,0,0,0.2,0,0.4,0,0,1.9,0,0,2.4
480,Michael Gbinije,DET,25,9,7,2,3.5,0.4,0.1,1.1,0,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0,0,0,0.2,1.2,0,0,-0.3
479,Arinze Onuaku,ORL,29,8,3,5,3.5,0.5,0.3,0.5,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.1,0.4,1.9,0,0,-1.9
478,Steve Novak,MIL,34,8,6,2,2.7,0.6,0.3,0.9,0.1,0.8,0,0,0,0.4,0.4,0,0,0,0,0.1,1.1,0,0,0
477,Isaiah Taylor,HOU,22,4,3,1,13,0.8,0.3,1.8,0,0.5,0.3,0.5,0.3,0.5,0.8,0.8,0,0.3,0.3,1.5,4.3,0,0,-4.8
476,Larry Sanders,CLE,28,5,2,3,2.5,0.8,0.2,0.8,0,0,0.4,0.4,0.6,0.2,0.8,0,0.4,0.2,0.2,1,2.6,0,0,-0.2
475,Alonzo Gee,DEN,30,13,4,9,6.9,0.8,0.2,1.1,0,0.2,0.4,0.7,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,4,0,0,-1.4
474,Georges Niang,IND,24,23,11,12,4,0.9,0.4,1.6,0,0.5,0.1,0.1,0.1,0.7,0.7,0.2,0.2,0.1,0,0.3,2.3,0,0,0.1
473,Kyle Wiltjer,HOU,24,14,12,2,3.1,0.9,0.3,1,0.3,0.9,0.1,0.1,0.3,0.4,0.7,0.1,0.4,0.2,0.1,0.3,2.5,0,0,-2.7
472,CJ Wilcox,ORL,26,22,8,14,4.9,1,0.4,1.4,0.1,0.7,0.1,0.1,0.2,0.4,0.5,0.5,0.3,0.1,0,0.4,2.6,0,0,-0.8
470,Mike Tobey,CHA,22,2,0,2,12.6,1,0.5,2,0,0,0,0,1,0.5,1.5,0.5,0.5,0,0,1,3.1,0,0,-8.5
470,Ronnie Price,PHX,34,14,4,10,9.6,1,0.3,1.7,0.2,1.2,0.2,0.3,0.2,0.6,0.8,1.3,0.2,0.8,0.1,1,6.2,0,0,-3.1
469,Stephen Zimmerman,ORL,20,19,8,11,5.7,1.2,0.5,1.6,0,0,0.2,0.3,0.6,1.3,1.8,0.2,0.2,0.1,0.3,0.9,4.7,0,0,-2.1
468,Daniel Ochefu,WAS,23,19,12,7,3.9,1.3,0.6,1.4,0,0,0,0.1,0.3,0.9,1.2,0.2,0.2,0.1,0,0.9,3,0,0,-1.6
467,Anderson Varejao,GSW,34,14,12,2,6.6,1.3,0.4,1,0,0,0.6,0.8,0.9,1.1,1.9,0.7,0.6,0.2,0.2,1.1,5.4,0,0,-2.1
466,Joel Anthony,SAS,34,19,15,4,6.4,1.3,0.5,0.8,0,0,0.3,0.4,0.4,1.2,1.6,0.2,0.2,0.1,0.3,0.6,4.6,0,0,-0.7
465,Brice Johnson,LAC,23,3,1,2,3.1,1.3,0.7,2.3,0,0,0,0,0.3,0.7,1,0.3,0.3,0.7,0.3,0,5.7,0,0,2.3
464,Mike Miller,DEN,37,20,9,11,7.5,1.4,0.5,1.2,0.4,1,0.1,0.1,0.1,1.8,1.9,1.1,0.7,0.1,0,0.5,5,0,0,-0.3
463,Diamond Stone,LAC,20,7,6,1,3.5,1.4,0.4,1.9,0,0,0.6,0.6,0.1,0.7,0.9,0,0.3,0,0.1,0.7,2.6,0,0,-3.9
461,Elijah Millsap,PHX,29,2,1,1,11.6,1.5,0.5,3.5,0,1,0.5,1,1.5,1.5,3,0.5,1,0,0,1,4.9,0,0,-3
461,Jarnell Stokes,DEN,23,2,0,2,3.3,1.5,0.5,0.5,0,0,0.5,1,0.5,0.5,1,1,0,0.5,0,1.5,5.7,0,0,0
460,Jordan Mickey,BOS,22,25,9,16,5.6,1.5,0.6,1.4,0,0,0.3,0.6,0.5,0.8,1.4,0.3,0.4,0.1,0.2,0.5,4.3,0,0,-2.3
459,Bruno Caboclo,TOR,21,9,8,1,4.5,1.6,0.7,1.8,0.2,0.7,0,0,0.6,0.6,1.1,0.4,0.2,0.2,0.1,0.4,4.3,0,0,0.1
458,Ryan Kelly,ATL,26,16,6,10,6.9,1.6,0.5,1.8,0.3,0.6,0.3,0.4,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,5.1,0,0,0.3
457,Deyonta Davis,MEM,20,36,23,13,6.6,1.6,0.7,1.3,0,0,0.3,0.5,0.6,1.1,1.7,0.1,0.2,0.1,0.5,1.1,5.1,0,0,-1.2
456,Nick Collison,OKC,36,20,10,10,6.4,1.7,0.7,1.2,0,0.1,0.3,0.4,0.5,1.1,1.6,0.6,0.2,0.1,0.1,0.9,4.8,0,0,-2
455,Cole Aldrich,MIN,28,62,23,39,8.6,1.7,0.7,1.4,0,0,0.2,0.4,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,7.4,1,0,-0.5
454,Jordan Hill,MIN,29,7,2,5,6.7,1.7,0.7,1.9,0,0,0.3,0.3,1.1,0.9,2,0,0.6,0.1,0,1.3,4,0,0,1.7
453,John Jenkins,PHX,26,4,0,4,3.2,1.8,0.5,1.3,0.3,0.5,0.5,0.5,0,0.3,0.3,0.3,0,0,0,0,2.4,0,0,2.3
452,Lamar Patterson,ATL,25,5,1,4,8.1,1.8,0.6,3,0.2,1.2,0.4,0.6,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,5.1,0,0,2.6
451,Damjan Rudez,ORL,31,45,12,33,7,1.8,0.7,2,0.4,1.4,0,0,0.1,0.4,0.6,0.4,0.2,0.3,0,0.7,3.8,0,0,-1.7
450,Joel Bolomboy,UTA,23,12,8,4,4.4,1.8,0.8,1.3,0.1,0.3,0.3,0.5,0.3,1.1,1.4,0.2,0.2,0.1,0.2,0.1,4.4,0,0,1
449,Damian Jones,GSW,22,10,7,3,8.5,1.9,0.8,1.6,0,0,0.3,1,0.9,1.4,2.3,0,0.6,0.1,0.4,1.5,5.6,0,0,-2.8
448,Marshall Plumlee,NYK,24,21,6,15,8.1,1.9,0.8,1.4,0,0,0.4,0.9,1.1,1.3,2.4,0.5,0.6,0.2,0.2,1.1,6.1,1,0,-0.1
446,Tim Quarterman,POR,22,16,6,10,5,1.9,0.8,1.8,0.3,0.8,0,0.2,0.3,0.6,0.9,0.7,0.7,0.1,0.2,0.4,4.3,0,0,0.1
446,Udonis Haslem,MIA,37,16,6,10,8.1,1.9,0.7,1.4,0,0.2,0.6,0.9,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,6,0,0,-4.3
443,Demetrius Jackson,BOS,22,5,1,4,3.4,2,0.6,0.8,0.2,0.2,0.6,1.2,0.4,0.4,0.8,0.6,0,0,0,0,3.9,0,0,0.2
443,Gary Neal,ATL,32,2,1,1,9.2,2,0,3.5,0,1,2,2,0,0.5,0.5,0.5,0,0,0,0.5,3.4,0,0,-2.5
443,Manny Harris,DAL,27,4,1,3,6.2,2,0.8,3.8,0,0.5,0.5,1,0.8,1.5,2.3,0.5,0.5,0,0,0.3,5,0,0,-5.3
442,Rakeem Christmas,IND,25,29,14,15,7.6,2,0.7,1.5,0,0,0.7,1,0.9,1,1.9,0.1,0.3,0.1,0.2,1.3,5.2,0,0,-1.2
441,Joe Young,IND,25,33,18,15,4.1,2.1,0.8,2.2,0.2,0.7,0.3,0.5,0,0.5,0.5,0.5,0.2,0.1,0,0.2,3.6,0,0,-1.7
440,Treveon Graham,CHA,23,27,10,17,7,2.1,0.7,1.5,0.3,0.6,0.4,0.6,0.2,0.6,0.8,0.2,0.1,0.2,0,0.7,4.1,0,0,-1.4
439,AJ Hammons,DAL,24,22,4,18,7.4,2.2,0.8,1.9,0.2,0.5,0.4,0.9,0.4,1.3,1.6,0.2,0.5,0,0.6,1,5.9,0,0,-0.2
438,Jake Layman,POR,23,35,16,19,7.1,2.2,0.7,2.5,0.4,1.5,0.4,0.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,4.2,0,0,0
437,Chris McCullough,WAS,22,16,1,15,5,2.3,1,2,0.1,0.4,0.2,0.3,0.6,0.6,1.2,0.1,0.2,0.1,0.1,0.4,4.4,0,0,3.1
436,Metta World Peace,LAL,37,25,8,17,6.4,2.3,0.8,2.7,0.4,1.5,0.4,0.6,0.2,0.6,0.8,0.4,0.3,0.4,0.1,0.7,5.1,0,0,-2.4
434,Chris Andersen,CLE,38,12,8,4,9.5,2.3,0.8,1.8,0,0.3,0.8,1.2,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,8.6,0,0,0.7
434,Greivis Vasquez,BKN,30,3,1,2,12.9,2.3,0.7,2.7,0.3,1,0.7,1,0,0.7,0.7,1.7,0.3,0.3,0.3,2,7.3,0,0,-4.3
433,James Young,BOS,21,29,16,13,7.6,2.3,0.9,2,0.4,1.2,0.2,0.3,0.2,0.7,0.9,0.1,0.1,0.3,0.1,0.5,4.7,0,0,-1.3
432,DeAndre Liggins,DAL,29,62,40,22,12.5,2.5,0.9,2.3,0.3,0.7,0.4,0.6,0.3,1.4,1.7,0.9,0.7,0.8,0.2,1.3,8.1,0,0,0.9
431,Bobby Brown,HOU,32,25,18,7,4.9,2.5,0.9,2.4,0.6,1.4,0.1,0.1,0,0.2,0.2,0.6,0.2,0,0,0.2,3.5,0,0,-1.4
429,Mike Scott,ATL,28,18,7,11,10.8,2.5,0.9,3.3,0.2,1.5,0.4,0.4,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,7.1,0,0,-2.3
429,Raul Neto,UTA,25,40,24,16,8.6,2.5,1,2.3,0.3,0.8,0.2,0.2,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,6.3,0,0,2.1
428,Miles Plumlee,CHA,28,45,19,26,10.8,2.5,1,2,0,0,0.6,0.9,0.8,1.3,2.1,0.5,0.7,0.4,0.3,1.6,7.1,0,0,-1.5
427,Pat Connaughton,POR,24,39,18,21,8.1,2.5,0.9,1.8,0.4,0.8,0.2,0.2,0.3,1.1,1.3,0.7,0.4,0.2,0.1,0.6,5.4,0,0,-0.4
426,Kevon Looney,GSW,21,53,44,9,8.4,2.5,1.1,2,0,0.2,0.4,0.6,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,7.7,0,0,-0.3
425,Bryn Forbes,SAS,23,36,24,12,7.9,2.6,1,2.8,0.5,1.5,0.1,0.2,0.1,0.6,0.6,0.6,0.3,0,0,0.6,4.1,0,0,-1.4
424,Andrew Nicholson,BKN,27,38,20,18,9,2.6,1.1,2.9,0.1,0.7,0.2,0.4,0.4,1.2,1.6,0.3,0.4,0.4,0.2,1.4,6.2,0,0,-3.4
423,DeAndre' Bembry,ATL,22,38,20,18,9.8,2.7,1.2,2.6,0,0.5,0.2,0.4,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,6.2,0,0,-1.2
422,Christian Wood,CHA,21,13,5,8,8.2,2.7,0.9,1.8,0,0.4,0.8,1.2,1.1,1.2,2.2,0.2,0.5,0.2,0.5,0.8,7.1,0,0,1.5
421,Tomas Satoransky,WAS,25,57,33,24,12.6,2.7,1.1,2.6,0.2,0.6,0.4,0.6,0.4,1,1.5,1.6,0.7,0.5,0.1,1.1,7.9,1,0,0.2
420,Wesley Johnson,LAC,29,68,40,28,11.9,2.7,1.1,2.9,0.4,1.7,0.2,0.3,0.4,2.3,2.7,0.3,0.3,0.4,0.4,1.2,8.8,0,0,-0.8
419,Marcelo Huertas,LAL,34,23,5,18,10.3,2.7,1.1,3,0.2,0.8,0.4,0.7,0.1,1,1,2.3,0.8,0.4,0.1,0.7,8.1,0,0,-1.9
418,Omer Asik,NOP,30,31,12,19,15.6,2.7,1,2.1,0,0,0.7,1.3,1.5,3.7,5.3,0.5,0.5,0.2,0.3,1.6,10.8,1,0,-1.9
415,Axel Toupane,NOP,24,4,2,2,11.9,2.8,1.3,2.3,0.3,1,0,0,0,0.3,0.3,0,0,0.3,0.3,1.5,4.6,0,0,-2.8
415,James Jones,CLE,36,48,28,20,7.9,2.8,0.9,1.9,0.6,1.4,0.3,0.4,0.1,0.7,0.8,0.3,0.2,0.1,0.2,0.8,4.9,0,0,-2.1
415,Kyle Singler,OKC,29,32,15,17,12,2.8,1.1,2.6,0.2,1.2,0.4,0.5,0.3,1.3,1.5,0.3,0.3,0.2,0.2,0.9,5.8,0,0,0.3
414,Nicolas Brussino,DAL,24,54,18,36,9.7,2.8,1,2.6,0.5,1.8,0.3,0.4,0.5,1.3,1.8,0.9,0.5,0.3,0.1,0.8,7.1,0,0,-2
411,Chinanu Onuaku,HOU,20,5,2,3,10.3,2.8,1,1.4,0,0,0.8,0.8,0.4,1.6,2,0.6,0.8,0.6,0.2,1.2,7.7,0,0,-9
411,Marcus Georges-Hunt,ORL,23,5,2,3,9.5,2.8,0.4,1.4,0.2,0.4,1.8,2,0.2,1.6,1.8,0.6,0.4,0.2,0,1,6.1,0,0,-5
411,Okaro White,MIA,24,35,26,9,13.5,2.8,0.9,2.5,0.3,1,0.6,0.6,0.7,1.6,2.3,0.6,0.5,0.3,0.3,1.5,7.7,0,0,1.9
410,James Michael McAdoo,GSW,24,52,43,9,8.8,2.8,1.2,2.3,0,0.2,0.4,0.8,0.7,1.1,1.8,0.3,0.4,0.3,0.6,0.9,7.8,0,0,-0.8
409,Semaj Christon,OKC,24,64,36,28,15.2,2.9,1.2,3.5,0.2,1,0.3,0.5,0.3,1.1,1.4,2,0.7,0.4,0.1,1.2,8.5,0,0,-2.2
408,Jeff Withey,UTA,27,51,33,18,8.5,2.9,1.1,2,0,0,0.7,0.9,1,1.4,2.4,0.1,0.3,0.3,0.6,1,8.5,0,0,-0.4
407,Alan Anderson,LAC,34,30,20,10,10.3,2.9,1,2.7,0.5,1.5,0.4,0.5,0.1,0.7,0.8,0.4,0.2,0.1,0,1.2,4.4,0,0,-2.6
406,Fred VanVleet,TOR,23,37,25,12,7.9,2.9,1.1,3,0.3,0.8,0.5,0.6,0.1,1,1.1,0.9,0.4,0.4,0.1,1,6.8,0,0,1.8
405,Lavoy Allen,IND,28,61,31,30,14.3,2.9,1.3,2.8,0,0,0.4,0.5,1.7,1.9,3.6,0.9,0.5,0.3,0.4,1.3,10.2,2,0,-2
404,Salah Mejri,DAL,31,73,29,44,12.4,2.9,1.2,1.9,0,0,0.5,0.8,1.3,2.9,4.2,0.2,0.5,0.4,0.8,2.1,11.5,1,0,-0.2
403,Andrew Bogut,CLE,32,27,8,19,21.6,2.9,1.4,3,0,0,0.1,0.4,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,18,0,0,-1.3
402,Sasha Vujacic,NYK,33,42,14,28,9.7,3,1,3.2,0.5,1.8,0.4,0.6,0.3,1.1,1.4,1.2,0.4,0.3,0,0.9,7.2,0,0,-0.2
400,Jarrett Jack,NOP,33,2,1,1,16.5,3,1,1.5,0,0.5,1,1,0,0,0,2.5,1.5,1,0,2,8.3,0,0,-3
400,Sheldon Mac,WAS,24,30,17,13,9.6,3,1,2.5,0.2,1,0.8,0.9,0.1,1,1.1,0.5,0.2,0.3,0.1,0.6,5.9,0,0,-1.8
399,Jakob Poeltl,TOR,21,54,38,16,11.6,3.1,1.2,2.1,0,0,0.6,1.1,1.4,1.6,3.1,0.2,0.5,0.3,0.4,2.1,8.6,0,0,-0.1
398,Maurice Ndour,NYK,25,32,10,22,10.4,3.1,1.2,2.7,0,0.2,0.6,0.8,0.7,1.3,2,0.3,0.4,0.5,0.3,0.9,7.6,1,0,-0.1
397,Briante Weber,CHA,24,20,12,8,10.2,3.1,1.3,3,0.1,0.5,0.6,0.8,0.4,0.9,1.3,1.1,0.4,0.6,0.1,0.8,7.8,0,0,-2.5
396,Henry Ellenson,DET,20,19,8,11,7.7,3.2,1.2,3.4,0.5,1.8,0.2,0.4,0.4,1.7,2.2,0.4,0.7,0.1,0.1,0.3,5.9,1,0,-0.2
395,Wade Baldwin IV,MEM,21,33,18,15,12.3,3.2,1.1,3.5,0.1,0.7,0.9,1.1,0.3,1.1,1.4,1.8,1.2,0.5,0.2,1.2,8.7,0,0,-4.2
394,Paul Pierce,LAC,39,25,16,9,11.1,3.2,1.1,2.8,0.6,1.7,0.4,0.5,0,1.9,1.9,0.4,0.6,0.2,0.2,1.6,6.6,0,0,1.1
393,Darrun Hilliard,DET,24,39,19,20,9.8,3.3,1.2,3.2,0.3,1.2,0.5,0.7,0.1,0.8,0.8,0.8,0.7,0.3,0.1,1,5.8,0,0,0.3
392,Nicolas Laprovittola,SAS,27,18,15,3,9.7,3.3,1.1,2.6,0.6,1.5,0.5,0.5,0.1,0.5,0.6,1.6,1.1,0.2,0.1,1.1,6.1,0,0,-2.4
391,Norris Cole,OKC,28,13,5,8,9.6,3.3,1.2,4,0.2,1,0.6,0.8,0,0.8,0.8,1.1,0.5,0.6,0,1.4,7.2,0,0,-1.2
390,Gary Payton II,MIL,24,6,2,4,16.5,3.3,1.3,3.7,0.2,1.5,0.5,0.8,0,2,2,2.2,1.7,0.5,0.7,1.5,10.8,0,0,-9.7
389,Jared Sullinger,TOR,25,11,2,9,10.7,3.4,1.4,4.3,0.3,1.6,0.4,0.7,0.9,1.5,2.5,0.3,0.4,0.4,0.1,1.5,7.7,0,0,-2.6
388,Dragan Bender,PHX,19,43,13,30,13.3,3.4,1.3,3.7,0.7,2.3,0.1,0.3,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,8.6,1,0,-0.6
387,Kyle Anderson,SAS,23,72,53,19,14.2,3.4,1.3,2.9,0.2,0.6,0.6,0.8,0.5,2.4,2.9,1.3,0.5,0.7,0.4,0.9,11.4,0,0,2.5
386,Dejounte Murray,SAS,20,38,29,9,8.5,3.4,1.3,3.1,0.2,0.6,0.6,0.8,0.2,0.9,1.1,1.3,1,0.2,0.2,0.8,6.7,0,0,0
385,Jose Calderon,ATL,35,41,15,26,13.1,3.4,1.3,3.3,0.5,1.6,0.3,0.3,0.4,1.4,1.8,2.1,1,0.3,0,0.9,8.7,0,0,-2.6
384,Johnny O'Bryant III,CHA,24,11,4,7,7.3,3.5,1.4,2.7,0.3,0.5,0.5,0.5,0.8,0.9,1.7,0.5,0.5,0,0.1,0.9,6.1,0,0,-2.4
382,Brian Roberts,CHA,31,41,16,25,10.2,3.5,1.1,3,0.4,1.1,0.8,1,0.1,0.8,1,1.3,0.6,0.2,0,0.4,6.6,0,0,-1.4
382,Rashad Vaughn,MIL,20,41,18,23,11.2,3.5,1.4,3.8,0.6,2,0,0.1,0.1,1.1,1.2,0.6,0.3,0.5,0.2,0.8,7.5,0,0,-1.9
381,Tyus Jones,MIN,21,60,23,37,12.9,3.5,1.3,3,0.4,1.2,0.6,0.7,0.2,1,1.1,2.6,0.6,0.8,0.1,0.8,10.7,0,0,0.6
380,Tyler Zeller,BOS,27,51,32,19,10.3,3.5,1.5,3.1,0,0,0.4,0.8,0.8,1.6,2.4,0.8,0.4,0.1,0.4,1.2,8.9,1,0,0
379,Adreian Payne,MIN,26,18,5,13,7.5,3.5,1.3,3,0.2,0.8,0.8,1.1,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,8.3,0,0,0.4
378,Malachi Richardson,SAC,21,22,9,13,9,3.6,1.3,3.1,0.4,1.3,0.7,0.9,0.1,0.9,1,0.5,0.4,0.2,0,1,6.1,0,0,-0.8
377,Kris Dunn,MIN,23,78,30,48,17.1,3.8,1.5,4,0.3,0.9,0.5,0.8,0.3,1.8,2.1,2.4,1.1,1,0.5,2.3,13.2,1,0,-1.7
376,Malik Beasley,DEN,20,22,12,10,7.5,3.8,1.5,3.3,0.4,1.3,0.4,0.5,0.2,0.5,0.8,0.5,0.4,0.3,0,0.5,6,0,0,2.6
375,Jonas Jerebko,BOS,30,78,51,27,15.8,3.8,1.5,3.4,0.6,1.7,0.3,0.5,0.8,2.7,3.5,0.9,0.5,0.3,0.2,1.6,10.5,0,0,0.5
374,Pierre Jackson,DAL,25,9,4,5,9.4,3.9,1.4,4.3,0.3,1.2,0.7,0.8,0.1,0.9,1,2.1,0.3,0.2,0,0.6,8.6,0,0,6.1
373,Anthony Brown,ORL,24,11,3,8,14.5,3.9,1.6,4.5,0.6,2.5,0,0,0.7,2.3,3,0.7,0.5,0.5,0.1,1.4,9.7,0,0,0.4
372,Jarell Martin,MEM,23,42,23,19,13.3,3.9,1.4,3.6,0.2,0.6,1,1.2,1,2.9,3.9,0.2,0.7,0.4,0.2,2.2,10,1,0,-1.7
371,Kay Felder,CLE,22,42,25,17,9.2,4,1.5,3.8,0.2,0.5,0.8,1.2,0.1,0.9,1,1.4,0.7,0.4,0.2,0.9,8.3,0,0,-1.3
370,Thon Maker,MIL,20,57,31,26,9.9,4,1.5,3.2,0.5,1.3,0.6,0.9,0.7,1.3,2,0.4,0.3,0.2,0.5,1.5,8.6,0,0,-0.5
369,Patrick McCaw,GSW,21,71,57,14,15.1,4,1.5,3.5,0.6,1.7,0.4,0.5,0.3,1.1,1.4,1.1,0.5,0.5,0.2,0.9,8.8,0,0,-0.6
367,Edy Tavares,CLE,25,2,1,1,13.8,4,2,2.5,0,0,0,1.5,2,3.5,5.5,0.5,1,0,3,1.5,19.4,0,0,5
367,Justin Harper,PHI,27,3,1,2,10.4,4,1.7,4,0.7,2.3,0,0,0.7,1,1.7,0.7,1.3,0,0,0.7,5.7,0,0,-3.7
366,Shabazz Napier,POR,25,53,26,27,9.7,4.1,1.4,3.5,0.6,1.7,0.7,0.9,0.2,1,1.2,1.3,0.8,0.6,0,0.7,8.5,0,0,0.3
365,Ron Baker,NYK,24,52,14,38,16.5,4.1,1.6,4.2,0.4,1.7,0.5,0.8,0.2,1.7,1.9,2.1,1.1,0.7,0.2,1.4,10.8,0,0,-1.1
364,Jason Terry,MIL,39,74,37,37,18.4,4.1,1.4,3.3,1,2.3,0.3,0.4,0.2,1.2,1.4,1.3,0.5,0.6,0.3,1.3,10,0,0,1.4
363,Pascal Siakam,TOR,23,55,35,20,15.6,4.2,1.9,3.7,0,0.1,0.4,0.6,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2,11.9,0,0,-0.9
362,Brandon Rush,MIN,31,47,15,32,21.9,4.2,1.5,4,0.9,2.4,0.3,0.4,0.3,1.8,2.1,1,0.6,0.5,0.5,0.9,10.4,0,0,-0.9
361,KJ McDaniels,BKN,24,49,28,21,10.3,4.2,1.6,3.4,0.4,1.3,0.7,0.8,0.3,1.4,1.7,0.3,0.6,0.4,0.4,1,8.3,0,0,-0.9
360,Tyler Ennis,LAL,22,53,28,25,11.1,4.3,1.7,3.9,0.5,1.3,0.4,0.5,0.2,0.7,0.8,1.6,0.8,0.5,0,1.1,8.4,0,0,0
359,Dorian Finney-Smith,DAL,24,81,33,48,20.3,4.3,1.5,4.1,0.7,2.4,0.6,0.8,0.7,2.1,2.7,0.8,0.6,0.6,0.3,1.5,11.1,0,0,-1.5
358,Ed Davis,POR,28,46,19,27,17.2,4.3,1.6,3.1,0,0,1.1,1.8,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3,13.2,3,0,-2.8
357,Jordan McRae,CLE,26,37,26,11,10.4,4.4,1.6,4.1,0.5,1.4,0.7,0.9,0.2,0.9,1.1,0.5,0.4,0.2,0.2,0.8,7.2,0,0,-1.6
356,Stanley Johnson,DET,21,77,35,42,17.8,4.4,1.7,4.7,0.6,2,0.5,0.7,0.5,2,2.5,1.4,0.9,0.7,0.3,1.6,11.6,0,0,0
355,Donatas Motiejunas,NOP,26,34,16,18,14.1,4.4,1.7,4.1,0.3,1.4,0.7,1.4,0.8,2.2,3,0.9,0.9,0.5,0.3,1.6,11,0,0,-3.5
354,Noah Vonleh,POR,21,74,38,36,17.1,4.4,1.8,3.6,0.1,0.3,0.8,1.3,1.8,3.5,5.2,0.4,0.9,0.4,0.4,2.1,12.8,4,0,-1.2
353,Lucas Nogueira,TOR,24,57,34,23,19.1,4.4,1.8,2.7,0.1,0.2,0.8,1.2,1.4,2.8,4.3,0.7,0.8,0.9,1.6,2.4,17.3,0,0,3.1
352,Jarrod Uthoff,DAL,24,9,2,7,12.7,4.4,1.8,4.2,0.3,1,0.6,0.8,0.9,1.6,2.4,1,0.3,0.2,0.4,0.9,10.5,0,0,-6.9
351,Reggie Williams,NOP,30,6,1,5,13.2,4.5,1.3,3.8,0.8,1.8,1,1.2,0.3,0.7,1,0.7,0,0.5,0,0.3,8.2,0,0,-4
350,Davis Bertans,SAS,24,67,51,16,12.1,4.5,1.5,3.5,1,2.6,0.4,0.5,0.3,1.1,1.5,0.7,0.5,0.3,0.4,1.1,9,0,0,1.7
349,Corey Brewer,LAL,31,82,47,35,15.6,4.5,1.8,4.2,0.3,1.4,0.6,0.8,0.4,1.6,2,1.2,0.7,0.7,0.2,1.6,11,0,0,0.9
348,C.J. Watson,ORL,33,62,20,42,16.3,4.5,1.5,4,0.5,1.7,0.9,1.1,0.3,1.2,1.4,1.8,0.8,0.7,0,1.4,10.4,0,0,-3
347,Reggie Bullock,DET,26,31,13,18,15.1,4.5,1.7,4.1,0.9,2.4,0.2,0.2,0.4,1.6,2.1,0.9,0.3,0.6,0.1,0.7,10.1,0,0,1.8
346,Kris Humphries,ATL,32,56,31,25,12.3,4.6,1.6,3.8,0.3,1,1.1,1.5,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,11.2,0,0,-1.2
345,Roy Hibbert,DEN,30,48,24,24,14.2,4.6,1.7,3.1,0,0,1.3,1.6,1.1,2,3.2,0.4,0.7,0.2,1,2.1,11.8,1,0,-0.5
344,Boris Diaw,UTA,35,73,45,28,17.6,4.6,2,4.5,0.3,1.1,0.4,0.5,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,10.6,0,0,0.3
343,Isaiah Canaan,CHI,26,39,19,20,15.2,4.6,1.6,4.4,0.6,2.4,0.8,0.8,0.2,1.1,1.3,0.9,0.5,0.6,0,0.9,8.8,0,0,-2.2
342,David West,GSW,36,68,56,12,12.6,4.6,2,3.7,0,0.1,0.6,0.8,0.7,2.3,3,2.2,1.1,0.6,0.7,1.5,14.4,0,0,1.8
341,Kevin Seraphin,IND,27,49,23,26,11.4,4.7,2.2,4,0,0,0.3,0.4,0.8,2.1,2.9,0.5,0.6,0.1,0.4,1.3,10,0,0,-2.1
340,Luke Babbitt,MIA,28,68,35,33,15.7,4.8,1.7,4.1,1.3,3.1,0.2,0.2,0.2,1.9,2.1,0.5,0.4,0.3,0.2,1.7,9,0,0,-0.1
339,Cristiano Felicio,CHI,24,66,31,35,15.8,4.8,1.9,3.3,0,0,0.9,1.4,1.9,2.8,4.7,0.6,0.5,0.4,0.3,1.7,12.8,3,0,-0.5
